date,open,high,low,close,volume
2024-08-28,115.37,116.34,111.22,112.84,1001518
2024-08-29,114.5,116.26,111.97,112.52,1095373
2024-08-30,115.46,116.2,114.335,115.87,1848509
2024-09-03,113.64,113.65,107.21,108.31,3673560
2024-09-04,107.2,110.86,106.76,109.14,1672848
2024-09-05,107.06,110.54,106.1684,110.17,2134901
2024-09-06,109.83,110.545,106.13,107.11,3653570
2024-09-09,108.61,108.61,104.13,105,2488837
2024-09-10,105.36,107.46,103.83,107.37,1311785
2024-09-11,108.32,111.1399,105.835,110.67,2705409
2024-09-12,111.23,111.23,107.725,108.23,1436666
2024-09-13,109.63,111.66,108.7,110.67,1459319
2024-09-16,109.51,110.475,108.34,110.15,1328403
2024-09-17,112.23,113.24,110.48,111.64,836666
2024-09-18,112.71,113.7,109.71,110.07,1488581
2024-09-19,115.29,117.19,113.28,115.36,2582348
2024-09-20,113.99,114.08,109.94,110.64,3488939
2024-09-23,112.13,112.59,110.97,111.58,1588992
2024-09-24,112.17,113.12,110.33,112.3,2069544
2024-09-25,112.35,113.54,110.68,111.36,1787799
2024-09-26,115.91,117.88,112.41,116.61,2416724
2024-09-27,116.88,117.44,114.325,114.86,1777988
2024-09-30,113.27,114.19,111.1,112.53,1606768
2024-10-01,113.18,113.52,109.01,109.72,1993255
2024-10-02,109.82,113.59,109.045,112.92,1476665
2024-10-03,111.07,112.75,109.5,110.56,1525415
2024-10-04,113.18,113.9,110.65,112.2,847626
2024-10-07,110.57,111.525,109.1,110.14,1412469
2024-10-08,109.92,110.99,108.5,110.06,1250576
2024-10-09,109.31,110.6,108.59,109.91,1361528
2024-10-10,108.5,109.7044,107.6,108.07,1329343
2024-10-11,107.59,110.77,107.59,108.9,1190514
2024-10-14,109.57,111.8,109.01,111.45,1701898
2024-10-15,110.45,111.8424,101.94,102.63,4118928
2024-10-16,105.53,105.58,101.91,102.33,2419999
2024-10-17,105.18,107.0529,103.27,104.16,3740211
2024-10-18,106.14,106.14,102.98,103.23,1741288
2024-10-21,102.55,104.41,101.97,104.36,1686307
2024-10-22,103.5,104.27,102.3525,103.18,1547420
2024-10-23,102.88,104.13,101.23,103.24,1403595
2024-10-24,104.33,104.645,102.7815,103.66,1463736
2024-10-25,103.86,106.21,103.86,105.01,1734232
2024-10-28,105.81,106.77,105.12,105.95,1892363
2024-10-29,106,109.11,105.03,108.71,1377698
2024-10-30,106,108.5,105.97,106.91,2114464
2024-10-31,107.5,107.5,103.13,104.71,2590076
2024-11-01,105.15,108.14,104.77,107.05,2099671
2024-11-04,96.49,102.82,94.924,100.98,3278486
2024-11-05,101.01,103.18,100.25,103.12,2788988
2024-11-06,105.25,107.69,104.165,105.07,3388940
2024-11-07,106.94,108.43,106.04,108.21,2185374
2024-11-08,106.21,107.5,104.46,105.03,2077385
2024-11-11,103.93,104.38,101.89,104.3,2202696
2024-11-12,102.75,106.815,102.7,106.33,4970228
2024-11-13,105.35,107.05,103.84,105.12,2821580
2024-11-14,106.65,106.73,100.93,101.5,2743674
2024-11-15,100.25,100.99,97.61,97.67,3821839
2024-11-18,97.32,99.955,96.39,99.55,2533097
2024-11-19,98.77,99.92,97.895,99.43,1577285
2024-11-20,98.88,100.04,97.776,99.96,1178345
2024-11-21,101.3,105.84,100.89,105.24,3473917
2024-11-22,105,107.32,104.89,107.24,2512379
2024-11-25,109.79,109.865,107.725,108.02,2505288
2024-11-26,108.34,108.53,103.44,105.52,2092450
2024-11-27,105.55,106.37,102.96,104.96,1582554
2024-11-29,106.39,107.6,105.085,105.63,1077531
2024-12-02,105.5,109.89,105.33,108.83,1675680
2024-12-03,106.77,108.985,106.77,108.17,1275052
2024-12-04,110,110.9,108.42,110.1,2015265
2024-12-05,109.575,110.1,106.93,107.1,1629761
2024-12-06,107.91,109.52,107.225,109.4,1279393
2024-12-09,108.84,111.54,107.41,110.51,1585276
2024-12-10,110.83,110.83,105.35,106.13,2016418
2024-12-11,108.21,110.24,106.5301,109.07,2026608
