date,open,high,low,close,volume
2024-08-28,19.98,20.105,19.51,19.61,50144885
2024-08-29,19.76,20.6,19.75,20.13,64529661
2024-08-30,21.25,22.12,21,22.04,177785378
2024-09-03,21.54,21.69,19.99,20.1,115305533
2024-09-04,19.76,20.045,19.28,19.43,85871887
2024-09-05,19.28,19.9,19.24,19.4,65388789
2024-09-06,19.44,19.49,18.64,18.89,92686460
2024-09-09,19,19.54,18.95,19.07,64244126
2024-09-10,19.03,19.11,18.51,18.98,55621273
2024-09-11,19.01,19.69,18.52,19.64,71403141
2024-09-12,19.43,19.54,19.04,19.36,51602918
2024-09-13,19.49,19.8,19.49,19.66,44236271
2024-09-16,20.03,21.0699,19.76,20.91,149337028
2024-09-17,21.71,22.58,21.24,21.47,196249783
2024-09-18,21.36,21.74,20.715,20.77,118727940
2024-09-19,21.28,21.69,21.03,21.14,99829168
2024-09-20,20.89,23.14,20.35,21.84,260377912
2024-09-23,22.43,22.82,22.03,22.56,184439134
2024-09-24,22.53,23.105,22.285,22.81,113082534
2024-09-25,22.8,24.055,22.73,23.54,117013357
2024-09-26,24.28,24.42,23.25,23.92,95416939
2024-09-27,24.16,24.66,23.7034,23.91,85883278
2024-09-30,23.74,23.95,23.09,23.46,66460225
2024-10-01,23.46,23.72,22.255,22.69,86344357
2024-10-02,22.67,23.0668,22.35,22.39,59033896
2024-10-03,22.14,22.73,21.65,22.26,49565931
2024-10-04,22.7,22.91,22.3,22.59,49966930
2024-10-07,22.4,22.65,22.0209,22.38,54928674
2024-10-08,22.25,23.42,22.045,23.32,58650461
2024-10-09,23.25,23.48,23.06,23.46,44759018
2024-10-10,23.19,23.53,22.96,23.22,44874580
2024-10-11,23.05,23.82,22.98,23.56,43585252
2024-10-14,23.58,23.77,23.2701,23.44,35403646
2024-10-15,23.41,23.72,22.47,22.66,68900556
2024-10-16,22.38,22.54,21.74,22.31,62151767
2024-10-17,22.72,22.82,22.4,22.44,43807577
2024-10-18,22.61,22.82,22.5,22.77,39971695
2024-10-21,22.61,22.88,22.25,22.84,39726985
2024-10-22,22.73,22.82,22.17,22.4,50160378
2024-10-23,22.3,22.425,21.575,21.98,45799051
2024-10-24,22.09,22.365,21.97,22.34,40554417
2024-10-25,22.42,23.3399,22.41,22.68,67502984
2024-10-28,22.67,23.27,22.56,22.92,41914966
2024-10-29,22.87,23.14,22.41,22.9,83422242
2024-10-30,22.415,22.93,22.26,22.3,50941231
2024-10-31,22.15,22.25,21.47,21.52,112485547
2024-11-01,23,23.58,21.91,23.2,173471115
2024-11-04,22.96,23,22,22.52,84616300
2024-11-05,22.58,23.58,22.4,23.32,59153326
2024-11-06,24.3,25.12,24.05,25.05,116760537
2024-11-07,25.43,26.3799,25.19,26.23,101489302
2024-11-08,26,26.43,25.83,26.2,76427983
2024-11-11,25.96,26.2863,24.83,25.05,80185321
2024-11-12,24.66,24.96,23.89,24.16,62539733
2024-11-13,24.06,25.14,24.02,24.92,58201972
2024-11-14,25.12,25.61,24.9346,25.03,49252121
2024-11-15,24.81,24.82,24.23,24.35,55104875
2024-11-18,24.33,25.02,24.16,24.84,59667333
2024-11-19,24.5,24.54,24.095,24.2,61190859
2024-11-20,24.07,24.21,23.55,24.01,50191510
2024-11-21,24.08,24.77,23.83,24.44,58928410
2024-11-22,24.35,24.68,24.14,24.5,36784715
2024-11-25,25.04,25.565,24.76,24.87,91128387
2024-11-26,24.95,24.985,23.81,24.05,69613557
2024-11-27,23.83,23.93,23.06,23.65,53992319
2024-11-29,23.72,24.28,23.6,24.05,36616750
2024-12-02,24.84,25.48,23.44,23.93,150497884
2024-12-03,23.68,23.75,22.44,22.47,138160493
2024-12-04,22.53,22.54,21.81,21.96,104648976
2024-12-05,22.04,22.19,20.66,20.8,167993483
2024-12-06,20.95,21.05,20.66,20.92,78539132
2024-12-09,20.92,21.06,20.73,20.81,68818217
2024-12-10,20.83,20.86,19.96,20.16,90004833
2024-12-11,20.14,20.25,19.87,20.12,75209342
2024-12-12,20.02,20.9,19.92,20.78,77695010
2024-12-13,20.6,20.8,20.25,20.34,55104079
2024-12-16,20.17,21.1,20,20.83,73832891
2024-12-17,20.64,20.77,20.2925,20.44,51767153
2024-12-18,20.48,20.58,19.21,19.3,86041243
2024-12-19,19.53,19.69,19.03,19.06,69117805
2024-12-20,18.97,19.76,18.9,19.52,108453667
2024-12-23,19.58,20.23,19.52,20.2,57988375
2024-12-24,20.22,20.4,19.96,20.4,29884026
2024-12-26,20.23,20.665,20.08,20.44,39950380
2024-12-27,20.21,20.605,20.09,20.3,48260830
2024-12-30,20.01,20.115,19.73,19.82,59608126
2024-12-31,19.99,20.4,19.88,20.05,49846656
2025-01-02,20.23,20.43,20,20.22,46438529
2025-01-03,20.39,20.665,20.06,20.56,48983942
2025-01-06,20.83,20.98,19.78,19.87,83270990
2025-01-07,20.02,20.34,19.9,20.01,61726060
2025-01-08,19.825,20.12,19.71,19.88,47897071
2025-01-10,19.66,19.66,18.91,19.15,71244581
2025-01-13,18.92,19.249,18.73,19.2,50668970
2025-01-14,19.36,19.52,18.82,19.2,47147526
