date,open,high,low,close,volume
2024-08-28,80.922,81.995,79.5,80.427,6488880
2024-08-29,81.418,82.558,79.198,79.575,8065490
2024-08-30,81.356,81.995,79.7547,81.943,10793720
2024-09-03,80.559,80.708,73.717,74.143,16612430
2024-09-04,73.5,74.989,72.4635,74.511,9272270
2024-09-05,72.578,74.322,72.276,72.806,8183330
2024-09-06,72.806,72.82,69.679,70.28,13906730
2024-09-09,71.503,71.751,69.657,70.989,8398940
2024-09-10,70.989,71.7,69.642,71.346,7788530
2024-09-11,71.528,75.161,70.3897,74.882,11291190
2024-09-12,74.687,74.687,73,73.328,10708890
2024-09-13,74.137,75.459,74.0911,75.15,5867620
2024-09-16,73.5,74.299,72.615,73.64,8630900
2024-09-17,74.934,75.092,73.345,73.96,8555290
2024-09-18,74.955,75.215,72.979,73.104,8178460
2024-09-19,75.932,78.221,75.519,77.243,12410960
2024-09-20,76.265,76.536,74.926,75.885,16226680
2024-09-23,76.628,77.039,75.855,76.127,4388490
2024-09-24,77.2,77.569,75.22,77.034,8214890
2024-09-25,76.29,78.2,75.969,77.206,5750550
2024-09-26,81.344,82.2,78,80.455,9079950
2024-09-27,80.796,80.846,77.79,78.24,6275250
2024-09-30,77.308,78.126,76.129,77.441,9330060
2024-10-01,77.847,78.691,74.616,75.369,12795680
2024-10-02,76.066,78.744,75.5,77.736,7019700
2024-10-03,76.486,78.3986,76.4,77.456,5844420
2024-10-04,80.046,80.046,77.721,78.739,7574630
2024-10-07,77.773,78.7896,77.184,78.167,7481020
2024-10-08,78.19,79.367,77.424,78.39,6534380
2024-10-09,78.203,80.678,78.035,80.463,6286180
2024-10-10,79.135,79.982,78.7,79.798,4618600
2024-10-11,79.278,80.642,79.2665,80.373,5708370
2024-10-14,80.937,83.2999,80.937,82.965,5680100
2024-10-15,82.552,83.238,69.896,70.772,28709220
2024-10-16,72.057,72.076,68.201,68.259,22806050
2024-10-17,70.098,70.122,66.968,67.025,19364540
2024-10-18,66.793,68.19,66.432,67.852,11927790
2024-10-21,67.75,67.975,66.74,67.361,7393030
2024-10-22,67,67.315,66.366,67.008,7873590
2024-10-23,66.464,67.231,65.465,66.463,8468010
2024-10-24,67.875,68.439,66.544,66.616,8847100
2024-10-25,66.967,68.284,66.8,67.307,9551270
2024-10-28,67.315,67.914,67.021,67.435,10519070
2024-10-29,67.5,70.04,67.377,69.623,13338890
2024-10-30,68.2,69.519,68.001,69.18,16568420
2024-10-31,67.765,68.105,65.6,66.623,20012390
2024-11-01,66.65,67.8645,66.344,66.938,9064470
2024-11-04,66.725,67.056,66.236,66.337,6380750
2024-11-05,66.908,68.155,66.725,67.033,10165630
2024-11-06,67.5,67.864,65.748,66.966,17153660
2024-11-07,68.285,68.782,67.51,68.615,11224100
2024-11-08,68.9605,69.436,68.138,68.741,12780830
2024-11-11,68.4,68.5205,65.674,66.603,14230590
2024-11-12,66.301,66.926,65.486,66.478,11116270
2024-11-13,65.406,65.599,63.832,64.455,15053690
2024-11-14,66,66,64.274,64.5,11698700
2024-11-15,62.053,63,61.235,61.446,17122010
2024-11-18,61.423,62.3774,61.177,62.026,12235830
2024-11-19,61.648,61.841,60.94,61.566,14091490
2024-11-20,61.649,61.995,60.989,61.683,11953200
2024-11-21,62.78,63.796,62,63.316,13861980
2024-11-22,63,64.303,63,63.955,9820020
2024-11-25,64.669,64.669,63.2105,64.467,19129570
2024-11-26,65.118,65.118,62.386,63.147,9234370
2024-11-27,63.147,63.3985,62.123,63.214,9427930
2024-11-29,64.481,66.1495,64.327,64.703,9256730
2024-12-02,64.501,66.907,64.5,66.603,13805160
2024-12-03,66.113,66.718,65.682,66.572,13765640
2024-12-04,67.018,67.05,65.567,66.622,14594900
2024-12-05,66.038,66.292,64.139,64.261,10283670
2024-12-06,64.115,65.071,63.818,64.834,8625190
2024-12-09,65.901,66.634,64.582,65.237,10933420
2024-12-10,65.783,65.783,63.847,64.187,9151900
2024-12-11,64.697,65.712,64.208,64.884,11074090
2024-12-12,64.687,64.989,63.791,64.66,6981520
2024-12-13,64.8,66.387,64.758,65.376,14634090
2024-12-16,64.968,66.453,64.5415,65.613,10144630
2024-12-17,65.997,66.89,65.2085,65.488,12524320
2024-12-18,65.8655,66.9095,62.561,63.077,14520860
2024-12-19,62.416,63.5276,62.058,62.218,11161510
2024-12-20,61.643,64.1055,61.34,62.937,26521650
2024-12-23,63.158,64.951,63.158,64.799,8864860
2024-12-24,64.505,65.2,64.126,65.053,3495060
2024-12-26,64.422,65.389,64.205,64.855,4540720
2024-12-27,64.717,64.772,63.801,64.481,7296770
2024-12-30,63.381,63.724,62.66,63.364,6880970
2024-12-31,63.35,63.8,62.7173,63.012,6462150
2025-01-02,63.469,64.943,63.189,63.662,8923560
2025-01-03,64.39,65.871,64.0315,65.701,8652230
2025-01-06,67.36,69.687,67.351,69.03,16766190
2025-01-07,69.478,70.587,68.326,68.93,12836750
2025-01-08,69,69.2,67.8965,68.62,10933580
2025-01-10,68.39,69.457,67.1645,68.306,12544700
2025-01-13,67.419,69.197,66.549,69.099,13190050
2025-01-14,69.299,70.139,68.656,70.126,10390760
2025-01-15,71.5,72.737,71.354,71.625,13683200
2025-01-16,73.5,77.907,73.358,74.726,20195670
2025-01-17,76.295,76.33,74.761,75.747,14026250
2025-01-21,76.23,77.843,75.1225,76.724,13699860
2025-01-22,77.336,78.713,77.158,77.191,12004970
2025-01-23,75.327,76.187,74.129,76.095,8222090
2025-01-24,76.505,76.579,74.315,74.982,7453930
2025-01-27,71.66,72.495,68.5195,70.271,23578380
2025-01-28,69.733,70.889,68.922,70.292,13872770
2025-01-29,72.108,72.188,70.778,71.297,7291920
2025-01-30,73.128,74.611,72.2,74.243,17110410
2025-01-31,75.893,77.0245,73.5,73.824,16322930
2025-02-03,72.739,75.3,72.637,74.021,12168050
2025-02-04,73.283,75.6,73.283,74.932,9999140
2025-02-05,74.263,76.1915,74.094,75.915,6774590
2025-02-06,75.768,76.424,75.3218,76.182,5794290
2025-02-07,76.18,76.7268,74.422,74.77,6646130
2025-02-10,75.968,76.125,74.368,75.146,15644820
2025-02-11,75.455,76.196,74.916,75.862,5919160
2025-02-12,74.253,75.467,73.854,75.055,4766270
2025-02-13,75.103,76.5,75.008,76.428,7117360
2025-02-14,76.017,76.952,73.902,75.074,9985680
2025-02-18,75.804,76.0205,73.7939,75.825,13539850
2025-02-19,76.113,77.7,75.309,77.475,9366760
2025-02-20,78,79.4,77.101,77.763,8836620
2025-02-21,77.974,78.241,75.106,75.43,8724870
2025-02-24,76.199,76.303,73.6,73.757,11108710
2025-02-25,73.629,73.629,72.1465,72.497,10686750
2025-02-26,73.333,75.111,72.998,73.852,12473550
2025-02-27,74.305,75,69.864,69.916,13253090
2025-02-28,70.584,71.35,69.193,70.884,12426580
2025-03-03,71.453,72.8105,68.636,69.115,13047610
2025-03-04,69.347,71.601,67.856,69.9,11826470
2025-03-05,70.111,71.724,68.9625,71.581,9158150
2025-03-06,69.727,71.166,68.398,69.213,11357330
2025-03-07,68.82,71.4115,68.022,71.129,10883320
2025-03-10,69.382,69.722,67.058,67.836,13891830
2025-03-11,67.739,68.0315,65.3739,66.422,10587400
2025-03-12,67.604,68.675,67.1815,68.039,8841430
2025-03-13,67.662,69.4,66.866,68.15,9310380
2025-03-14,68.997,71.374,68.997,71.3,11429420
2025-03-17,70.574,72.42,70.553,71.829,9761920
2025-03-18,71.19,71.28,69.806,71,9507740
2025-03-19,71,73.0065,70.4947,71.961,7534100
2025-03-20,70.882,71.966,70.7675,71.646,6294630
2025-03-21,70.231,70.938,69.236,70.649,24549800
2025-03-24,72.271,73.514,71.64,72.773,7301960
2025-03-25,72.462,72.7165,71.873,72.185,4988460
2025-03-26,72.149,72.4172,69.881,70.554,7348230
2025-03-27,70.035,70.713,69.2,70,7351270
2025-03-28,68.537,69.4165,66.718,67.36,9895220
2025-03-31,67.299,68.114,65.542,67.98,11654230
2025-04-01,67.4,68.28,66.218,68.246,6696780
