date,open,high,low,close,volume
2024-08-28,81.01,81.3,78.8,79.4,4785517
2024-08-29,80.21,82.65,80,80.98,4421920
2024-08-30,82.49,82.59,81.09,82.16,4872835
2024-09-03,80.27,80.42,76.14,76.4,9559101
2024-09-04,75.39,77.62,75.115,76.89,5875771
2024-09-05,75.81,77.44,75.43,76.75,4137167
2024-09-06,76.75,76.83,73.69,74.09,9621573
2024-09-09,74.95,75.7,74.21,75.41,5323685
2024-09-10,75.12,75.32,73.15,75.19,4748196
2024-09-11,75.19,77.64,73.6,77.45,6678877
2024-09-12,77.3,77.3,75.42,76.08,3351556
2024-09-13,76.89,78,76.75,77.62,3444754
2024-09-16,76.81,77.48,75.89,77,3831805
2024-09-17,78.25,78.85,76.32,77,4735840
2024-09-18,77.64,78.35,76.12,76.36,9379108
2024-09-19,79.48,80.65,77.885,78.83,12211846
2024-09-20,77.26,77.58,75.805,77.01,14159500
2024-09-23,76.52,77.33,76.32,77.06,4909249
2024-09-24,78.09,78.93,77.27,77.5,4434274
2024-09-25,76.67,77.17,75.87,76.11,6082263
2024-09-26,78.84,80.76,77.28,80.31,8061407
2024-09-27,80.86,81.64,80.25,80.59,6496167
2024-09-30,79.05,80.42,78.91,80.29,5612587
2024-10-01,79.99,80.33,76.78,77.49,6934360
2024-10-02,77.75,78.99,76.89,78.22,5632161
2024-10-03,77.38,78.03,76.52,77.33,4483667
2024-10-04,79.47,79.53,76.81,77.68,4228462
2024-10-07,76.83,77.21,75.69,76.45,5306347
2024-10-08,76.1,77.64,75.41,77.31,4913235
2024-10-09,77,78.34,76.835,78.19,4724844
2024-10-10,76.82,77.72,76.44,77.34,3832806
2024-10-11,77.11,78.7,77,77.98,3811941
2024-10-14,78.6,79.22,77.82,78.99,3852859
2024-10-15,78.64,79.18,74.67,75.23,7695196
2024-10-16,76.65,77.68,75.7,75.89,4499277
2024-10-17,77.63,77.9,76.435,76.58,4849036
2024-10-18,77.33,77.65,76.7003,77.34,3542186
2024-10-21,76.66,77.065,74.548,75.18,4738086
2024-10-22,74.6,75.66,74.4,75.43,4572979
2024-10-23,75.79,76.75,74.07,75.27,4102703
2024-10-24,76.32,76.38,74.82,75.86,3920075
2024-10-25,76.65,77.55,76.25,76.29,3940337
2024-10-28,75.8,77.57,75.35,77.2,3654697
2024-10-29,76.97,79.44,76.69,79.05,5456227
2024-10-30,77.09,78.125,75.49,75.58,5706784
2024-10-31,75.65,75.68,72.67,73.37,9069525
2024-11-01,73.59,75.27,73.41,74.81,5472977
2024-11-04,74.1,75.61,73.8,74.47,4223410
2024-11-05,73.66,75.26,73,75.09,8185748
2024-11-06,76.3,77.2,72.26,73.75,11382190
2024-11-07,74.34,75.23,73.62,74.34,7232268
2024-11-08,73.23,73.53,72.08,72.87,6290308
2024-11-11,72.32,72.49,68.995,69.88,6591232
2024-11-12,68.95,69.62,66.08,67.3,9799750
2024-11-13,66.36,67.07,65.56,66.59,6997531
2024-11-14,67.03,67.49,65.48,65.6,6115152
2024-11-15,64.91,65.07,62.625,62.86,9280916
2024-11-18,63.18,65.32,62.96,65.25,8006029
2024-11-19,64.69,65.24,63.665,64.88,9720291
2024-11-20,64.11,65.15,63.665,65.12,8669520
2024-11-21,65.91,66.835,65.23,66.51,7146743
2024-11-22,65.68,66.89,65.26,66.69,5378239
2024-11-25,67.75,71.1,67.26,69.85,11092852
2024-11-26,70.75,70.92,67.7302,68.41,8778240
2024-11-27,68.38,68.975,66.6,67.87,5524030
2024-11-29,68.64,69.55,68.08,68.17,5221091
2024-12-02,67.99,71.04,67.99,70.31,7029969
2024-12-03,69.26,69.71,65.24,65.39,10712818
2024-12-04,66.23,66.23,61.07,61.64,13749529
2024-12-05,61.49,61.7,57.96,58.25,14289382
2024-12-06,58.72,59.58,58.3,59.29,8677484
2024-12-09,59.5,62.7,59.1,61.87,8594745
2024-12-10,61.49,62.015,60.44,61.92,9191857
2024-12-11,62.5,62.7,61.01,61.52,5698233
2024-12-12,61.03,62.04,60.681,61.5,4738719
2024-12-13,61,61.34,59.745,59.93,9040132
2024-12-16,57.94,59.57,57.94,59.08,11748889
2024-12-17,58.93,59.75,58.04,58.29,9621990
2024-12-18,58.79,59.76,55.91,56.14,10205868
2024-12-19,56.26,57.71,55.9,55.99,7435069
2024-12-20,55.87,57.07,55.27,55.51,27171189
2024-12-23,55.93,58,55.8,57.87,8832365
2024-12-24,57.81,58.61,57.25,58.56,3201143
2024-12-26,57.85,59.035,57.8,58.47,4143374
2024-12-27,58.25,58.52,57.74,58.34,9024164
