date,open,high,low,close,volume
2024-08-28,62.21,62.71,61.11,62.43,4673061
2024-08-29,63.27,64.22,62.2,63.03,4321260
2024-08-30,64.12,65.69,63.45,65.59,6416508
2024-09-03,64.52,64.52,62.2,63.06,5891696
2024-09-04,61.96,63.81,61.47,62.95,3681230
2024-09-05,62.39,63.595,62.39,62.61,2316752
2024-09-06,62.15,62.52,60,60.77,4151069
2024-09-09,61.91,62.78,61.405,62.61,4171144
2024-09-10,62.56,63.33,62.05,62.79,3287554
2024-09-11,63.28,63.45,60.95,63.31,3617586
2024-09-12,63.31,64.0999,62.3425,63.25,3982416
2024-09-13,63.59,65.14,63.59,65.02,3581482
2024-09-16,64.08,64.33,63.27,64.09,4492382
2024-09-17,64.67,66.25,64.43,65.89,5202361
2024-09-18,65.4,66.05,64.105,64.42,4439395
2024-09-19,66.39,66.58,65.36,65.97,4820170
2024-09-20,65.25,66.88,64.98,66.75,7683693
2024-09-23,67.03,67.34,66.28,66.29,2908156
2024-09-24,66.29,66.86,64.19,66.46,6650014
2024-09-25,65.91,66.34,65.26,66,3791421
2024-09-26,70.32,71.43,68.51,70.46,8834927
2024-09-27,70.46,70.46,68.825,69.42,4091786
2024-09-30,68.89,69.56,67.98,68.29,5327060
2024-10-01,68.09,68.27,66.48,66.76,3490244
2024-10-02,66.63,68.1,66.42,66.52,3828837
2024-10-03,66,67.675,65.815,66.58,3964262
2024-10-04,67.85,67.96,65.89,66.35,4565007
2024-10-07,66.27,67.28,65.87,66.44,3261645
2024-10-08,66.54,66.75,65.68,66.17,3874383
2024-10-09,65.76,65.84,64.155,64.48,4436661
2024-10-10,63.61,64.895,63.45,64.05,3512013
2024-10-11,63.73,65.37,63.68,64.88,4046539
2024-10-14,65.44,66.89,65.4,66.83,4426852
2024-10-15,67,68.725,66.85,66.95,5974608
2024-10-16,67,68.06,66.52,67.79,4441489
2024-10-17,68.8,68.96,67.15,67.35,3647768
2024-10-18,67.92,68.2,66.66,67.03,2949103
2024-10-21,66.67,67.66,66.07,67.26,5074575
2024-10-22,66.805,68.17,65.96,67.76,6289348
2024-10-23,67.12,67.785,65.93,66.61,5476340
2024-10-24,67.31,67.5399,66.2,66.32,8803145
2024-10-25,72.585,73.5,69.3201,69.45,17644446
2024-10-28,69.61,71.12,68.27,69.71,7901963
2024-10-29,69.86,70,67.755,68.3,6251064
2024-10-30,67.78,69.2199,66.965,67.02,4689152
2024-10-31,66.51,67.46,65,65.31,4572078
2024-11-01,65.75,67.11,65.6,65.88,3824525
2024-11-04,65.65,66.49,65.105,65.22,2705047
2024-11-05,65.5,67.13,65.5,66.83,4173262
2024-11-06,68.86,70.19,68.255,69.91,5724503
2024-11-07,70.5,71.23,69.7,70.44,3767689
2024-11-08,70,70.44,69.18,69.61,3517578
2024-11-11,70.07,70.14,67.28,67.38,4453125
2024-11-12,66.2,66.51,63.045,63.96,8477220
2024-11-13,63.75,63.75,62.295,62.73,4532293
2024-11-14,62.75,63.69,62.72,63.22,3631339
2024-11-15,62.45,63.12,62.3,62.8,3502102
2024-11-18,62.845,64.68,62.588,64.58,3629176
2024-11-19,63.99,65.41,63.6929,65.29,2866602
2024-11-20,65.65,65.68,62.82,63.84,3827857
2024-11-21,64.47,66.51,63.9,65.88,4039511
2024-11-22,66.41,66.82,65.84,66.43,5180924
2024-11-25,67.1,69.93,67.06,69.425,8819009
